Open,High,Low,Close,Volume,Year,Month,Day,5_SMA,5_EMA,20_SMA,20_EMA,50_SMA,50_EMA,200_SMA,200_EMA,Cross,MACD,Stochastic_Oscillator
10484.23046875,10484.5498046875,10375.240234375,10378.0302734375,266650000,2005,9,21,10523.5740234375,10493.971923737947,10524.38203125,10541.794493140453,10575.44376953125,10540.045610554904,10540.6323828125,10475.939863046395,34.81138671874942,-9.811401562716128,0.0
10376.2001953125,10444.509765625,10350.9599609375,10422.0498046875,254260000,2005,9,22,10496.233984375,10469.997884054465,10523.741015625,10530.390237097314,10572.73697265625,10535.418324050299,10540.539731445313,10475.403643560236,32.197241210937136,-18.024025143300605,0.14436885865457294
10422.0498046875,10455.8095703125,10372.0595703125,10419.58984375,238590000,2005,9,23,10451.7638671875,10453.195203952977,10522.189013671876,10519.837818683283,10568.5509765625,10530.876030705189,10540.166528320313,10474.848282368093,28.38444824218641,-24.449251041698517,0.13630103642210178
10420.2197265625,10509.23046875,10410.1103515625,10443.6298828125,234320000,2005,9,26,10428.9638671875,10450.00676357282,10524.506005859375,10512.579920028922,10564.60697265625,10527.45461314077,10539.620576171876,10474.537651526745,24.986396484373472,-27.286912079140166,0.21514406139103476
10444.580078125,10496.25,10415.6201171875,10456.2099609375,224960000,2005,9,27,10423.901953125,10452.074496027712,10524.164013671874,10507.211352496406,10562.2313671875,10524.66070521123,10539.18552734375,10474.355286446256,23.04583984374949,-28.195649826946465,0.25640237262513293
10456.6103515625,10512.099609375,10423.98046875,10473.08984375,238740000,2005,9,28,10442.9138671875,10459.079611935142,10527.177490234375,10503.96168499675,10558.76197265625,10522.638318487261,10538.359375,10474.342694976642,20.40259765624978,-27.239762540873926,0.3117625581305969
10472.6103515625,10563.3701171875,10418.009765625,10552.7802734375,236020000,2005,9,29,10469.0599609375,10490.313165769261,10530.7365234375,10508.61107437206,10556.0345703125,10523.820355936292,10537.741025390626,10475.123168394164,18.293544921874854,-19.823352042059923,0.573119643337561
10552.7001953125,10569.8095703125,10526.1201171875,10568.7001953125,222160000,2005,9,30,10498.88203125,10516.442175617009,10536.1900390625,10514.33384779496,10554.85318359375,10525.58034963732,10537.127275390625,10476.054283089868,17.725908203125073,-12.516901592367503,0.7224804250973195
10569.5,10608.5595703125,10523.6298828125,10535.48046875,239190000,2005,10,3,10517.2521484375,10522.788273328006,10540.595556640625,10516.34781169544,10552.53919921875,10525.968589602522,10536.276479492188,10476.64558841982,16.262719726562864,-9.299838526030726,0.5966052900341913
10534.3603515625,10567.8203125,10434.7900390625,10441.1103515625,301840000,2005,10,4,10514.2322265625,10495.56229940617,10533.1890625,10509.182339301826,10549.431796875,10522.640815561737,10535.232431640625,10476.29200397348,14.199365234375364,-14.201466970200272,0.23902103284439247
10434.8095703125,10438.4697265625,10316.16015625,10317.3603515625,266720000,2005,10,5,10483.086328125,10436.161650124948,10517.382080078125,10490.913578564747,10544.18361328125,10514.590601287257,10533.511235351563,10474.710594496755,10.672377929686263,-27.751728948163873,0.0
10317.3603515625,10369.5498046875,10218.08984375,10287.099609375,316440000,2005,10,6,10429.9501953125,10386.474303208299,10501.940576171875,10471.5027243562,10537.18380859375,10505.669385918149,10531.149584960938,10472.843818525396,6.034223632812427,-40.46573438804262,0.0
10287.419921875,10347.2998046875,10280.6201171875,10292.3095703125,237340000,2005,10,7,10374.6720703125,10355.0860589097,10482.628076171875,10454.436709685373,10528.91900390625,10497.302334325772,10528.531684570313,10471.04745784666,0.3873193359377183,-49.55009237141712,0.018501243241931066
10292.9501953125,10323.1201171875,10237.7998046875,10238.759765625,236540000,2005,10,10,10315.3279296875,10316.3106278148,10460.41904296875,10433.896048346289,10520.87599609375,10487.163410062996,10525.5898828125,10468.736137526046,-4.713886718749563,-60.37457273378641,0.0
10239.16015625,10312.8798828125,10234.2001953125,10253.169921875,261000000,2005,10,11,10277.73984375,10295.263725834868,10443.205517578124,10416.684036301403,10513.47638671875,10477.987194839938,10522.975083007812,10466.59120005688,-9.498696289061627,-67.0177335136068,0.043675024196484336
10253.8095703125,10308.8798828125,10186.08984375,10216.91015625,293420000,2005,10,12,10257.6498046875,10269.14586930658,10426.806005859375,10397.657952486985,10504.13978515625,10467.748879601117,10519.78693359375,10464.10681156129,-15.647148437499709,-74.35127117143202,0.0
10216.91015625,10241.3203125,10156.4599609375,10216.58984375,270400000,2005,10,13,10243.5478515625,10251.627194121054,10409.697998046875,10380.41337070251,10494.51978515625,10457.89950564617,10516.723930664062,10461.643956160184,-22.204145507812427,-79.27516439427018,0.0
10216.58984375,10291.91015625,10200.099609375,10287.33984375,238950000,2005,10,14,10242.55390625,10263.531410664036,10391.96796875,10371.54922527846,10488.06458984375,10451.210891454162,10514.159130859374,10459.90958688247,-26.09454101562369,-76.58562017405166,0.20093132646070982
10287.419921875,10350.990234375,10269.8095703125,10348.099609375,242880000,2005,10,17,10264.421875,10291.720810234357,10381.491455078125,10369.31592852575,10483.8659765625,10447.167311764784,10511.984580078126,10458.797049792844,-28.11860351562609,-68.7587239382774,0.3734901999938984
10349.1396484375,10361.4697265625,10285.259765625,10285.259765625,297590000,2005,10,18,10270.83984375,10289.567128697905,10371.678466796875,10361.31057967806,10478.832578125,10440.817996229891,10509.76373046875,10457.070310646895,-30.93115234375,-66.8558301046869,0.19502386558723767
10277.1796875,10414.1298828125,10232.98046875,10414.1298828125,316880000,2005,10,19,10310.2837890625,10331.088046736104,10373.483447265626,10366.340989500388,10474.80177734375,10439.771403546856,10508.680478515626,10456.643042708245,-33.878701171875946,-54.32283179726073,0.5610174145290256
10411.73046875,10432.7802734375,10252.1298828125,10281.099609375,334850000,2005,10,20,10323.1857421875,10314.425234282404,10366.4359375,10358.222762821779,10468.53556640625,10433.548980246,10507.096826171875,10454.896341879059,-38.56125976562544,-54.49656910358135,0.20229433093243177
